小区名字,总价（万元）,单价（元/平方）,建筑面积（m2）,套内面积（m2）,上架时间,上次交易时间,地区,
绍兴新村,215,42207,50.94,46.58,2018/8/14,2012/12/31,拱墅,拱宸桥
金沙国际,279,21969,127,126,2018/3/23,2011/3/6,下沙,金沙湖
城市之星,1400,48266,290.06,229.82,2018/6/14,2015/4/14,江干,钱江新城
中大文锦苑,1120,81860,136.82,暂无数,2018/7/8,2003/7/1,西湖,学军
亲亲家园三期,460,36712,125.3,101,2017/11/12,2007/11/30,余杭,三墩
梦琴湾,320,25042,127.79,101.36,2017/11/12,2013/8/13,下沙,沿江北
东方福邸,1400,60607,231,182.97,2017/11/15,2016/5/25,拱墅,申花
中豪四季公馆,520,33122,157,124.21,2018/1/17,2014/10/8,江干,丁桥
明珠公寓,570,47524,119.94,107.13,2018/3/7,2007/3/4,西湖,翠苑
良渚文化村白鹭郡南,400,46334,86.33,86.33,2018/3/9,2010/2/24,余杭,良渚
九溪玫瑰园,680,48897,139.07,暂无数,2018/3/14,2003/10/9,西湖,之江
融创河滨之城,1360,73761,184.38,暂无数,2018/3/19,2016/9/8,西湖,西溪
湖墅嘉园,625,46688,133.87,暂无数,2018/4/9,2005/5/31,拱墅,信义坊
阳光地带东区,1100,55230,199.17,,2018/4/26,2003/1/21,西湖,文一西路
彩虹城,1226,50466,242.94,暂无数,2018/4/26,2008/12/10,滨江,彩虹城
山水人家诗家谷,575,41709,137.86,117.4,2018/4/28,2003/11/11,西湖,文三西路
华元蒙卡岸,359,28166,127.46,102.66,2018/5/12,2013/7/18,余杭,翡翠城
亲亲家园三期,505,33007,153,暂无数,2018/5/15,2010/12/30,余杭,三墩
金帝金色钱塘,450,33976,132.45,104.37,2018/5/20,2011/4/2,萧山,萧山新城区
亲亲家园三期,450,26253,171.41,152.3,2018/5/28,2013/5/1,余杭,三墩
奥兰多小镇,440,26730,164.61,142.43,2018/6/4,2008/7/14,萧山,湘湖
景冉佳园,318,38235,83.17,暂无数,2018/6/10,2012/5/1,下沙,高教园区东
华盛达阅城,508,41157,123.43,暂无数,2018/6/21,2014/11/18,拱墅,万达广场
广厦天都城天月苑,285,18009,158.26,暂无数,2018/6/29,2015/4/1,余杭,星桥
众安白马山庄,545,26758,203.68,南 ,2018/6/29,2016/8/3,西湖,小和山
顺发和美家,570,61762,92.29,暂无数,2018/7/2,2015/8/19,萧山,钱江世纪城
左岸花园,450,41285,109,暂无数,2018/7/7,2015/1/8,拱墅,拱宸桥
保利东湾,460,22830,201.49,163.23,2018/7/8,2011/11/17,下沙,沿江南
绿城深蓝广场,1000,64103,156,暂无数,2018/7/18,2007/6/22,下城,朝晖
湘湖人家,278,31896,87.16,暂无数,2018/7/23,2011/9/19,萧山,闻堰
万科草庄,580,43967,131.92,105.14,2018/8/1,2013/3/29,江干,笕桥
华瑞晴庐,540,30244,178.55,暂无数,2018/8/18,2018/3/7,萧山,萧山新城区
良渚文化村白鹭郡北,410,32049,127.93,119.32,2018/8/19,2018/3/12,余杭,良渚
中海御道,1230,65440,187.96,150.33,2018/8/28,2017/7/13,江干,钱江新城
蓝桥景苑,270,30668,88.04,77.74,2018/9/6,2012/9/4,江干,九堡
观邸国际,380,34634,109.72,84.8,2018/9/6,2009/12/8,滨江,浦沿
三塘桃园,430,35888,119.82,106,2018/3/5,2016/5/3,下城,三塘
颐景园,550,44355,124,暂无数,2018/4/18,2002/5/30,西湖,文三西路
金沙湖1号,180,24709,72.85,49.66,2018/5/24,2015/11/26,下沙,金沙湖
荣华里,260,39187,66.35,55.53,2018/6/3,2016/6/1,拱墅,拱宸桥
和达城,118,20978,56.25,39.6,2018/6/28,2015/1/12,下沙,高教园区西
五洲国际广场,138,31915,43.24,暂无数,2018/7/20,2015/11/12,西湖,申花
日信国际DOUBLE时代,205,52323,39.18,暂无数,2018/7/23,2000/9/27,上城,近江
亚洲城花园,288,45505,63.29,57.34,2018/8/4,2013/9/24,西湖,古荡
京都苑,346,47916,72.21,暂无数,2018/8/18,1996/12/9,下城,流水苑
理想西溪金座,200,32787,61,暂无数,2018/8/20,2016/5/3,余杭,未来科技城
凤凰城广场,310,29808,104,暂无数,2018/8/23,2010/5/11,上城,南星
文三新村,430,66729,64.44,暂无数,2018/8/24,2011/3/1,西湖,文三
金海公寓,220,45587,48.26,42.44,2018/8/25,2012/6/18,西湖,文三西路
石灰桥新村,405,57759,70.12,64.43,2018/8/27,2013/5/23,西湖,文教
高教新村,420,55978,75.03,暂无数,2018/8/29,1999/8/19,西湖,文一西路
保利湾天地,148,15745,94,暂无数,2018/8/29,2016/9/1,下沙,沿江南
滨江西溪之星,385,43317,88.88,73.48,2018/6/21,2018/4/26,余杭,西溪
世茂江滨花园碧景湾,255,21240,120.06,暂无数,2018/6/29,2018/6/28,下沙,沿江南
滨江西溪之星,415,46219,89.79,74.09,2018/7/13,2017/11/3,余杭,西溪
万科逸天广场,770,45853,167.93,127.22,2017/1/5,2016/4/28,滨江,浦沿
文二新村,525,91688,57.26,54,2017/8/9,2006/5/10,西湖,学军
兰韵天城,480,34645,138.55,114.31,2017/9/20,2013/5/3,西湖,三墩
古荡新村西区,165,45181,36.52,32.52,2017/9/20,2003/10/9,西湖,古荡
朝晖九区,206,38326,53.75,暂无数,2017/9/20,2008/10/17,下城,朝晖
复兴南苑,258,37858,68.15,58.45,2017/10/29,2007/12/4,上城,复兴
紫金观巷,245,50062,48.94,44.55,2017/11/20,1995/4/13,上城,清泰
广厦天都城天风苑,268,23104,116,104.98,2017/11/28,2013/1/25,余杭,星桥
东园高层公寓,495,44923,110.19,暂无数,2017/11/29,2002/12/25,下城,建国北路
众安景海湾,460,29300,157,126.09,2017/12/27,2013/9/23,萧山,萧山开发区
墅林苑,291,44612,65.23,1,2018/1/23,1998/5/11,拱墅,信义坊
柳翠桥弄2-3号,255,52255,48.8,45.15,2018/4/2,2018/4/28,上城,清波
林司后,240,50399,47.62,43.38,2018/4/7,2004/6/28,下城,长庆
三塘北村,318,36166,87.93,暂无数,2018/4/18,1999/2/1,下城,三塘
新德雅公寓,608,45185,134.56,暂无数,2018/4/29,2003/6/9,西湖,文教
新坝,230,39973,57.54,暂无数,2018/5/11,2002/6/2,下城,体育场路
浅水湾城市花园,245,43665,56.11,暂无数,2018/5/13,2007/6/24,拱墅,湖墅
珠碧苑,200,44131,45.32,暂无数,2018/5/14,2003/12/2,下城,潮鸣
顺发堤香,530,38543,137.51,暂无数,2018/5/28,2011/2/19,萧山,萧山新城区
坤和西溪里,436,50698,86,暂无数,2018/5/28,2016/8/1,西湖,西溪
金地自在城,410,46068,89,67.65,2018/6/11,2016/4/26,西湖,三墩
保利湾天地二期,102,21703,47,38,2018/6/22,2014/7/11,下沙,沿江南
西铭苑,455,36511,124.62,100.53,2018/6/29,2013/9/18,拱墅,申花
回龙庙前小区,220,44329,49.63,41.54,2018/7/4,2016/7/11,下城,潮鸣
盛泰名都公寓,275,32864,83.68,暂无数,2018/7/13,2012/9/25,下沙,高教园区西
雅居乐国际花园,185,20787,89,暂无数,2018/7/13,2018/8/5,余杭,闲林
枫华府第,255,52796,48.3,暂无数,2018/7/16,2009/7/15,西湖,翠苑
绿城蓝庭西区,328,28978,113.19,暂无数,2018/7/23,2013/7/3,余杭,临平
万家星城,630,45986,137,106.13,2018/7/28,2012/7/5,下城,三塘
复地黄龙和山,430,48599,88.48,暂无数,2018/8/1,2016/6/12,西湖,西溪
众安白马山庄,265,29769,89.02,62.68,2018/8/2,2016/8/22,西湖,小和山
钱塘梧桐蓝山,260,29989,86.7,暂无数,2018/8/4,2014/1/26,余杭,临平
采荷东区,405,47198,85.81,77.28,2018/8/5,2009/7/27,江干,采荷
郡枫绿园东区,200,31726,63.04,暂无数,2018/8/9,2012/8/1,江干,丁桥
九莲新村,328,43821,74.85,暂无数,2018/8/10,2009/7/27,西湖,九莲
风景蝶院留园,208,37688,55.19,42.93,2018/8/10,2014/4/2,滨江,白马湖
景芳三区,155,45575,34.01,暂无数,2018/8/11,2009/8/3,江干,景芳
德信晓宸,390,43821,89,暂无数,2018/8/14,2016/3/23,拱墅,万达广场
南肖埠社区,270,43118,62.62,暂无数,2018/8/15,2016/4/6,江干,南肖埠
广大融城印象,248,29848,83.09,暂无数,2018/8/17,2016/8/10,江干,丁桥
古荡新村西区,240,44494,53.94,50.22,2018/8/18,2011/8/3,西湖,古荡
新桥园,173,28724,60.23,54.39,2018/8/29,2010/10/21,萧山,萧山市区
美致生活广场,98,28564,34.31,暂无数,2018/3/12,2017/12/19,余杭,塘栖
阳光银泰城,148,27003,54.81,48.34,2018/3/14,2016/9/20,下城,三塘
仓基新村,255,39456,64.63,59.6,2018/4/8,2018/6/7,拱墅,信义坊
中栋国际,89,20942,42.5,暂无数,2018/4/24,2017/10/17,萧山,萧山新城区
泰美国际大厦,130,27660,47,暂无数,2018/6/16,2018/5/31,下沙,金沙湖
朝晖二区,325,44921,72.35,暂无数,2018/8/2,2018/4/12,下城,朝晖
玲珑府,170,35843,47.43,暂无数,2018/8/6,2018/4/28,滨江,西兴
嘉绿福苑,160,27663,57.84,38.96,2018/4/3,2012/7/17,西湖,嘉绿
德信东望,420,47303,88.79,70.47,2017/1/17,2016/5/25,江干,城东新城
宋都阳光国际,340,39522,86.03,63.2,2017/6/20,2012/7/19,江干,九堡
东方俊园,320,25397,126,106.86,2017/7/9,2009/7/3,余杭,临平
书林苑,298,24684,120.73,暂无数,2017/10/17,2008/11/3,余杭,良渚
昆仑橡树园,385,47298,81.4,68.4,2017/10/18,2017/11/20,拱墅,申花
富丽苑,420,38807,108.23,99.97,2017/10/22,2005/4/27,西湖,嘉绿
西荡苑梨苑,350,55947,62.56,暂无数,2017/11/14,2007/1/31,西湖,文三西路
蓝桥名苑,285,30495,93.46,暂无数,2017/11/17,2012/5/6,江干,九堡
白荡海人家,888,48658,182.5,154.14,2017/11/20,2012/10/18,西湖,文教
伟华苑小区,240,40296,59.56,暂无数,2017/11/21,2012/1/3,拱墅,拱宸桥
墩莳家园,235,28555,82.3,暂无数,2017/11/25,2017/8/28,西湖,良渚
绿城之江1号,670,35569,188.37,暂无数,2017/11/27,2017/11/29,西湖,转塘
严衙弄,252,43004,58.6,53.98,2017/12/16,2008/8/1,上城,清泰
世纪新城西区,710,51379,138.19,137.19,2017/12/21,2006/3/23,西湖,嘉绿
金世纪红枫苑,330,20000,165,147.77,2017/12/28,2009/10/21,余杭,临平
长兴苑小区,392,32809,119.48,暂无数,2017/12/30,2007/6/14,滨江,长河
京惠花园,560,39484,141.83,暂无数,2018/1/1,2005/12/27,江干,闸弄口
天湖公寓,435,34773,125.1,114.09,2018/1/15,2018/1/11,西湖,文一西路
东新园望景苑,560,34321,163.17,142.52,2018/1/20,2005/7/13,下城,三塘
亲亲家园二期,395,26766,147.58,暂无数,2018/1/25,2007/5/3,余杭,三墩
万家星城,358,44919,79.7,61.76,2018/1/28,2013/5/6,下城,三塘
盛泰名都公寓,265,34097,77.72,57.42,2018/1/29,2013/1/9,下沙,高教园区西
铭雅苑东区,410,31298,131,暂无数,2018/2/6,2005/2/23,余杭,三墩
金都夏宫,350,26818,130.51,暂无数,2018/2/25,2018/1/2,余杭,临平
江南铭庭,360,41566,86.61,暂无数,2018/2/25,2013/3/25,滨江,白马湖
翠苑四区,260,43334,60,暂无数,2018/2/27,1997/5/1,西湖,翠苑
南瓦坊,340,52389,64.9,暂无数,2018/2/27,2000/6/6,上城,雄镇楼
金隅观澜时代瀚庭,270,30034,89.9,70.02,2018/3/1,2012/7/4,下沙,沿江南
大华海派风景,300,35295,85,暂无数,2018/3/1,2016/12/13,余杭,万达广场
贾家弄新村,300,45483,65.96,55.76,2018/3/3,2011/3/11,拱墅,信义坊
翡翠城,510,37500,136,121.87,2018/3/3,2017/4/11,余杭,翡翠城
近江家园二园,545,56955,95.69,75.53,2018/3/4,2003/10/29,上城,近江
西铭苑,465,39744,117,暂无数,2018/3/6,2018/3/12,拱墅,申花
德胜东村,355,39683,89.46,暂无数,2018/3/6,2003/9/11,下城,德胜东
文二路36号,380,53886,70.52,暂无数,2018/3/7,1998/6/4,西湖,文教
万家星城,450,51090,88.08,70.83,2018/3/9,2013/8/5,下城,三塘
南峰公寓,245,27129,90.31,暂无数,2018/3/9,2009/6/25,萧山,萧山市区
铭雅苑东区,385,31895,120.71,暂无数,2018/3/10,2005/6/16,余杭,三墩
米市新村,288,42503,67.76,暂无数,2018/3/11,2018/2/2,拱墅,湖墅
豪曹巷,285,38194,74.62,暂无数,2018/3/11,2017/12/27,拱墅,信义坊
今日嘉园,796,57799,137.72,110.42,2018/3/14,2012/9/25,西湖,文教
青年路小区,335,54419,61.56,暂无数,2018/3/15,2017/7/4,上城,湖滨
金厦公寓,380,30425,124.9,113.75,2018/3/21,2000/1/1,西湖,三墩
假山新村,360,41045,87.71,暂无数,2018/3/22,2001/3/7,拱墅,德胜
莲花新村西区,310,44129,70.25,62.3,2018/3/22,2010/9/10,西湖,文三西路
锦园小区,216,44308,48.75,41.75,2018/3/22,2018/1/29,下城,建国北路
浪琴翠园,598,45838,130.46,暂无数,2018/3/23,2009/5/22,拱墅,信义坊
广厦天都城天湖苑,295,25058,117.73,105.59,2018/3/23,2010/8/4,余杭,星桥
观澜时代云邸苑,242,28748,84.18,56.4,2018/3/24,2010/3/25,下沙,沿江南
天寓,650,46002,141.3,107.7,2018/3/25,2010/6/23,滨江,彩虹城
水岸帝景,950,66434,143,111.16,2018/3/27,2013/9/6,江干,钱江新城
求智弄,800,87913,91,暂无数,2018/3/27,2003/4/1,西湖,学军
野风海天城,370,27612,134,暂无数,2018/4/5,2013/8/8,下沙,沿江北
采荷路17号,395,50396,78.38,暂无数,2018/4/5,1999/4/1,江干,采荷
耀江文欣苑,840,54902,153,暂无数,2018/4/6,2003/4/15,西湖,文教
城北商贸园,375,31186,120.25,106.64,2018/4/6,2005/3/3,西湖,申花
中山北路小区,430,47588,90.36,暂无数,2018/4/6,1996/4/3,下城,朝晖
宋都阳光国际,320,36909,86.7,62.83,2018/4/7,2012/5/9,江干,九堡
融创河滨之城,650,54700,118.83,97.53,2018/4/8,2017/6/1,西湖,西溪
万泰城章,215,24865,86.47,暂无数,2018/4/8,2017/10/12,余杭,临平
九月庭院,440,37289,118,暂无数,2018/4/10,2013/6/28,江干,九堡
夕照新村,280,59537,47.03,暂无数,2018/4/13,2005/1/31,江干,四季青
城北商贸园,370,30703,120.51,暂无数,2018/4/14,2003/8/11,西湖,申花
沁雅花园,695,48071,144.58,暂无数,2018/4/17,2006/5/17,西湖,文三西路
假山新村,290,46677,62.13,暂无数,2018/4/18,2003/5/27,拱墅,德胜
天成嘉苑,488,44936,108.6,86.38,2018/4/19,2008/1/10,江干,三里亭
欣盛东方郡东区,500,56428,88.61,67.64,2018/4/22,2011/3/24,滨江,滨江区政府
保俶北路101号,380,53810,70.62,暂无数,2018/4/23,2003/10/20,西湖,文教
和润园,685,51824,132.18,暂无数,2018/4/25,2013/1/18,西湖,文一西路
万家花城一期,700,52337,133.75,107.63,2018/4/25,2010/1/28,拱墅,申花
南岸花城,340,24356,139.6,暂无数,2018/4/25,2009/7/20,萧山,义桥
京都苑,530,42468,124.8,暂无数,2018/4/29,2002/3/18,下城,流水苑
十五奎巷,365,47907,76.19,暂无数,2018/4/30,2010/5/4,上城,鼓楼
大关东三苑,310,42333,73.23,暂无数,2018/4/30,2009/1/5,拱墅,大关
建国南苑,300,40967,73.23,暂无数,2018/5/1,2002/8/7,上城,鼓楼
竹海水韵,248,27525,90.1,暂无数,2018/5/1,2009/12/14,余杭,闲林
东海闲湖城,227,26547,85.51,70.62,2018/5/2,2018/3/22,余杭,闲林
太和广场,650,47095,138.02,105.46,2018/5/2,2010/3/26,上城,南星
新城山语院,215,24713,87,暂无数,2018/5/3,2017/11/15,余杭,临平
古荡新村西区,215,44933,47.85,42.36,2018/5/3,2000/8/14,西湖,古荡
金雅苑社区,286,32575,87.8,暂无数,2018/5/4,2010/5/4,江干,九堡
大关西四苑,280,36069,77.63,暂无数,2018/5/6,1999/6/1,拱墅,大关
佳兆业玖珑山,420,32438,129.48,暂无数,2018/5/6,2017/8/25,西湖,转塘
银爵世纪公寓,380,42697,89,暂无数,2018/5/6,2011/5/23,滨江,浦沿
三塘桂园,317,39059,81.16,暂无数,2018/5/11,2011/1/14,下城,三塘
亲亲家园三期,430,27762,154.89,139.63,2018/5/12,2009/12/8,余杭,三墩
黄工厂弄,235,40799,57.6,暂无数,2018/5/13,1995/5/2,上城,鼓楼
梧桐公寓,1065,69314,153.65,暂无数,2018/5/14,2009/2/24,西湖,文教
嘉绿莲苑,635,48400,131.2,暂无数,2018/5/14,2010/4/27,西湖,嘉绿
翠苑四区南园,380,41837,90.83,85,2018/5/14,2000/10/9,西湖,翠苑
建国南苑,315,43222,72.88,暂无数,2018/5/15,1995/1/31,上城,鼓楼
万家星城,380,44135,86.1,67.07,2018/5/15,2012/6/19,下城,三塘
紫金公寓,395,46022,85.83,76.87,2018/5/16,2000/6/2,西湖,文三西路
翡翠城,360,36773,97.9,85.99,2018/5/16,2013/7/3,余杭,翡翠城
普金家园,165,33381,49.43,44.16,2018/5/17,2018/5/16,拱墅,拱宸桥
城站路小区,288,45978,62.64,暂无数,2018/5/17,2000/12/20,上城,城站
康乐香港城,395,39564,99.84,90.2,2018/5/17,2009/7/28,西湖,文三西路
新西湖小镇,175,19719,88.75,暂无数,2018/5/18,2018/4/27,余杭,闲林
都市水乡水滟苑,315,32813,96,76.91,2018/5/19,2009/8/12,拱墅,三墩
融创金成西溪海,260,29214,89,暂无数,2018/5/19,2017/2/9,余杭,闲林
亲亲家园一期,400,32196,124.24,暂无数,2018/5/21,2006/11/15,余杭,三墩
景芳新五区,255,44550,57.24,暂无数,2018/5/23,2002/11/13,江干,景芳
翠苑一区,228,46248,49.3,暂无数,2018/5/23,2017/5/2,西湖,翠苑
新湖果岭,270,30509,88.5,暂无数,2018/5/23,2017/3/17,余杭,闲林
康家公寓,230,17969,128,暂无数,2018/5/23,2002/9/16,余杭,临平
德胜新村,240,38035,63.1,暂无数,2018/5/23,2000/9/23,拱墅,德胜
朝晖路90号,225,39233,57.35,暂无数,2018/5/26,1998/6/4,下城,流水苑
融创瑷骊山,307,34371,89.32,暂无数,2018/5/28,2016/11/25,西湖,转塘
大华海派风景,305,34090,89.47,暂无数,2018/5/29,2016/12/1,余杭,万达广场
蓝桥名苑,285,32128,88.71,71.55,2018/5/31,2012/5/16,江干,九堡
保利罗兰香谷,265,29776,89,暂无数,2018/6/1,2016/10/10,江干,丁桥
日晖新村,463,88868,52.1,47.62,2018/6/1,2018/2/13,西湖,学军
十五家园,285,44996,63.34,暂无数,2018/6/2,2000/12/28,下城,丝绸城
金都夏宫,220,24831,88.6,暂无数,2018/6/2,2017/11/27,余杭,临平
定海西园,318,42299,75.18,暂无数,2018/6/4,2012/3/28,拱墅,拱宸桥
万科魅力之城,335,38004,88.15,75.95,2018/6/4,2012/5/14,江干,九堡
三里亭苑三区,248,41493,59.77,52.92,2018/6/4,2013/6/5,江干,三里亭
南岸花城,288,20720,139,112.68,2018/6/5,2012/5/18,萧山,义桥
三里亭苑二区,290,36012,80.53,暂无数,2018/6/5,2007/6/1,江干,三里亭
都市水乡水滟苑,295,29980,98.4,暂无数,2018/6/5,2012/6/30,拱墅,三墩
茶市新村,310,37157,83.43,75.76,2018/6/6,2002/5/21,西湖,西溪
润达花园,305,34155,89.3,暂无数,2018/6/6,2006/8/7,西湖,三墩
绿城蓝庭西区,210,24039,87.36,暂无数,2018/6/6,2016/10/17,余杭,临平
东冠逸家,300,23303,128.74,111.04,2018/6/7,2009/11/5,余杭,乔司
仓基新村,280,45805,61.13,55.75,2018/6/7,2016/4/7,拱墅,信义坊
潘水苑,365,26147,139.6,暂无数,2018/6/7,2001/6/21,萧山,萧山市区
翠苑二区,255,43412,58.74,暂无数,2018/6/7,2000/9/27,西湖,翠苑
天鸿君邑,400,45772,87.39,60.49,2018/6/7,2012/9/12,滨江,浦沿
中江花园,900,44118,204,暂无数,2018/6/8,2007/7/28,下城,建国北路
世茂江滨花园峻景湾,330,24445,135,101.46,2018/6/8,2012/6/18,下沙,沿江南
九龙仓珑玺,440,49009,89.78,70.46,2018/6/8,2018/7/16,拱墅,申花
中融城市花园,760,47033,161.59,148.16,2018/6/10,2009/5/21,西湖,古荡
野风海天城,270,28422,95,74.68,2018/6/10,2012/1/31,下沙,沿江北
文苑小区,310,38386,80.76,暂无数,2018/6/11,2007/11/15,西湖,嘉绿
良渚文化村白鹭郡东,268,30455,88,77,2018/6/11,2016/12/16,余杭,良渚
古荡新村西区,270,40377,66.87,暂无数,2018/6/11,2017/4/4,西湖,古荡
和睦院,550,45082,122,105.49,2018/6/11,2006/10/13,拱墅,和睦
景丽华庭,200,21354,93.66,78.03,2018/6/12,2012/7/12,余杭,塘栖
长兴苑小区,305,30540,99.87,暂无数,2018/6/12,2000/2/11,滨江,长河
爵士风情花园,270,24636,109.6,109.6,2018/6/13,2009/4/30,余杭,闲林
天阳明朗,300,33708,89,暂无数,2018/6/13,2018/3/17,江干,丁桥
绿茵园小区,378,28818,131.17,暂无数,2018/6/14,2010/2/23,萧山,萧山市区
万科郡西澜山,370,29895,123.77,暂无数,2018/6/16,2018/4/25,余杭,良渚
翠苑三区,275,45834,60,暂无数,2018/6/16,2005/5/25,西湖,翠苑
清怡花苑,805,50094,160.7,133.85,2018/6/17,2010/6/12,上城,复兴
融创河滨之城,480,53933,89,70,2018/6/17,2018/4/2,西湖,西溪
水岸雅苑,640,36146,177.06,暂无数,2018/6/18,2006/12/31,下城,三里亭
翠苑二区北区,255,40958,62.26,暂无数,2018/6/18,2001/10/18,西湖,翠苑
日森大厦,310,34445,90,80,2018/6/19,2003/8/1,拱墅,湖墅
海棠公寓,325,36649,88.68,68.68,2018/6/19,2012/9/4,江干,九堡
名城燕园,420,49787,84.36,68.07,2018/6/20,2011/6/28,拱墅,桥西
东田玉城,330,23742,139,117.51,2018/6/20,2011/1/10,余杭,良渚
玉古路167.171号,430,68254,63,暂无数,2018/6/21,1999/10/13,西湖,黄龙
翠苑五区,285,43585,65.39,暂无数,2018/6/21,2014/9/23,西湖,翠苑
十五家园,245,41909,58.46,暂无数,2018/6/23,2000/7/6,下城,丝绸城
白荡海人家,720,64708,111.27,暂无数,2018/6/23,2003/7/23,西湖,文教
大关东一苑,276,40999,67.32,暂无数,2018/6/24,2004/10/29,拱墅,大关
广德小区,245,26909,91.05,82.47,2018/6/24,2018/6/28,萧山,萧山市区
复地连城国际,390,29679,131.41,107.55,2018/6/24,2010/7/12,余杭,乔司
德胜新村,250,39470,63.34,暂无数,2018/6/24,2001/2/11,拱墅,德胜
石灰桥新村,370,63065,58.67,暂无数,2018/6/24,2000/2/17,西湖,文教
海景城花园,380,31343,121.24,暂无数,2018/6/25,2006/8/4,江干,九堡
德圣博奥城,385,43405,88.7,64.3,2018/6/26,2016/8/11,萧山,萧山新城区
南都花园三区,375,43989,85.25,79.66,2018/6/27,2013/8/16,西湖,文一西路
庭院深深,255,24494,104.11,78.11,2018/6/27,2010/5/26,余杭,闲林
城北商贸园,280,35403,79.09,暂无数,2018/6/27,2007/12/25,西湖,申花
蓝桥名苑,260,27734,93.75,暂无数,2018/6/28,2010/4/7,江干,九堡
荷花小区,140,23625,59.26,暂无数,2018/6/28,2018/7/9,余杭,临平
顺达花苑东区,159,19935,79.76,暂无数,2018/6/28,2018/6/28,余杭,临平
铭和苑探梅坊,240,26834,89.44,暂无数,2018/6/28,2010/6/1,下沙,金沙湖
金海公寓,450,41904,107.39,暂无数,2018/6/28,2007/9/3,西湖,文三西路
金厦公寓,330,33997,97.07,暂无数,2018/6/29,2004/3/7,西湖,三墩
东新关,216,37159,58.13,54.18,2018/6/29,2013/4/25,下城,朝晖
嘉汇大厦,598,38073,157.07,120.36,2018/6/30,2005/6/9,下城,流水苑
毓秀家园,455,25047,181.66,暂无数,2018/6/30,2010/3/25,余杭,临平
蚕花园永安坊,236,38544,61.23,暂无数,2018/6/30,2008/3/25,拱墅,拱宸桥
翠苑五区,283,39910,70.91,65.5,2018/7/1,2006/5/26,西湖,翠苑
闲林山水紫薇苑,255,29120,87.57,76.54,2018/7/1,2011/7/7,余杭,闲林
庭院深深,320,23530,136,暂无数,2018/7/1,2010/11/29,余杭,闲林
阔板桥社区,120,27460,43.7,40,2018/7/1,2011/7/20,拱墅,半山
和达城,400,35311,113.28,暂无数,2018/7/1,2011/6/22,下沙,高教园区西
远大花园,660,49891,132.29,暂无数,2018/7/2,1998/12/22,下城,朝晖
翠苑四区,335,46399,72.2,70,2018/7/3,2011/7/6,西湖,翠苑
春江花月,980,60727,161.38,暂无数,2018/7/3,2012/7/1,上城,南星
万家星城,400,45056,88.78,69.3,2018/7/3,2012/9/18,下城,三塘
景芳三区,255,47109,54.13,暂无数,2018/7/3,2012/10/18,江干,景芳
大关南三苑,340,44306,76.74,暂无数,2018/7/4,1998/7/15,拱墅,大关
东园小区,245,44248,55.37,暂无数,2018/7/4,2018/5/14,下城,建国北路
南安路1-19号,165,24467,67.44,暂无数,2018/7/4,2008/12/16,余杭,未来科技城
春江花月,1000,62898,158.99,135.01,2018/7/5,2005/8/3,上城,南星
融创瑷颐湾,323,36219,89.18,67.88,2018/7/5,2017/4/24,余杭,万达广场
物华小区,330,40491,81.5,暂无数,2018/7/6,2002/3/13,西湖,嘉绿
天鸿君邑,388,44399,87.39,60.49,2018/7/6,2012/12/7,滨江,浦沿
采荷小区洁莲邨,311,56856,54.7,50.12,2018/7/6,2000/9/7,江干,采荷
绿城桃源小镇,248,28014,88.53,暂无数,2018/7/7,2010/9/1,余杭,小和山
红街公寓,580,43178,134.33,112.77,2018/7/7,2011/2/23,江干,火车东站
冠宇隽园,330,30276,109,87.59,2018/7/7,2013/5/27,江干,丁桥
天河西苑,340,43274,78.57,暂无数,2018/7/7,2003/7/30,西湖,文一西路
大关西三苑,310,40860,75.87,暂无数,2018/7/8,2000/5/28,拱墅,大关
朝晖三区,290,41751,69.46,暂无数,2018/7/8,2018/7/3,下城,朝晖
莫干新村,235,45324,51.85,47.88,2018/7/8,2013/4/18,拱墅,湖墅
广厦天都城天风苑,210,24998,84.01,暂无数,2018/7/8,2007/11/2,余杭,星桥
万科北宸之光,450,39107,115.07,暂无数,2018/7/9,2017/3/6,余杭,万达广场
元都新景公寓,290,32101,90.34,暂无数,2018/7/9,2013/5/28,下城,石桥
渔家浜,290,23197,125.02,暂无数,2018/7/9,2000/2/25,萧山,萧山市区
太阳国际公寓,442,51793,85.34,65.11,2018/7/9,2007/8/14,滨江,彩虹城
青春坊,515,48567,106.04,81.6,2018/7/10,2006/11/6,下城,长庆
朝晖四区,275,35887,76.63,70.67,2018/7/10,2002/7/18,下城,朝晖
燕子弄,268,43656,61.39,暂无数,2018/7/10,2006/6/5,上城,潮鸣
铭雅苑东区,370,31897,116,暂无数,2018/7/11,2011/2/21,余杭,三墩
世纪坊,505,55035,91.76,82,2018/7/12,2006/4/25,上城,近江
原筑壹号,320,35956,89,暂无数,2018/7/12,2012/8/22,江干,笕桥
大关东四苑,270,38583,69.98,63.64,2018/7/12,2009/5/21,拱墅,大关
保利东湾,275,30899,89,66.73,2018/7/12,2010/7/8,下沙,沿江南
三塘南村,280,36751,76.19,暂无数,2018/7/12,2007/12/25,下城,三塘
采荷人家,790,59234,133.37,暂无数,2018/7/12,2007/9/13,江干,采荷
文三新村,470,68754,68.36,62.63,2018/7/13,2012/5/11,西湖,文三
左邻右舍,385,34585,111.32,暂无数,2018/7/13,2010/2/5,江干,九堡
德嘉金沙阳光,298,34372,86.7,65.07,2018/7/13,2013/5/22,下沙,金沙湖
