小区名字,总价（万元）,单价（元/平方）,建筑面积（m2）,套内面积（m2）,上架时间,上次交易时间,地区,
世茂江滨商业中心,86,16288,52.8,36.39,2017/6/21,2013/7/24,下沙,沿江南
西溪河东,572,80113,71.4,暂无数,2017/9/21,2000/1/20,西湖,学军
复兴南苑,610,35786,170.46,暂无数,2018/3/31,2008/1/28,上城,复兴
南都德迦西区,760,38336,198.25,180.61,2017/7/29,2007/2/13,西湖,文三西路
雅仕苑,430,42583,100.98,暂无数,2017/10/20,1998/11/4,西湖,文一西路
湖畔花园龙珠苑,1600,76162,210.08,,2017/12/1,1996/2/9,西湖,文一西路
广宇西城年华,660,47903,137.78,107.6,2017/12/4,2007/12/1,西湖,申花
盛世嘉园,233,27519,84.67,74.64,2017/12/26,2010/10/22,余杭,闲林
枫华府第,808,56532,142.93,暂无数,2018/2/24,2008/5/9,西湖,翠苑
钱江湾花园,445,36312,122.55,104.98,2018/3/10,2008/3/21,滨江,浦沿
德圣博奥城,345,44911,76.82,暂无数,2018/5/3,2013/7/22,萧山,萧山新城区
钱塘春晓,548,46323,118.3,暂无数,2018/6/9,2002/7/2,滨江,滨江区政府
新风丽都南苑,258,42737,60.37,43.69,2018/6/13,2012/6/3,江干,火车东站
钱江水晶城,560,62922,89,67.03,2018/6/28,2016/4/18,滨江,彩虹城
中兴公寓,290,45088,64.32,暂无数,2018/6/28,2005/5/17,西湖,文三西路
古荡新村西区,195,40124,48.6,45.73,2018/7/6,2009/8/20,西湖,古荡
城发云锦城,235,26910,87.33,69.76,2018/7/23,2017/12/7,江干,丁桥
多蓝水岸碧海苑,289,23074,125.25,100.34,2018/7/26,2009/9/9,下沙,沿江北
工人新村,185,41323,44.77,暂无数,2018/7/28,2008/8/9,下城,建国北路
定海东园,310,38750,80,暂无数,2018/8/22,2013/8/21,拱墅,拱宸桥
蚕花园永安坊,180,35553,50.63,44.26,2018/8/26,2009/12/15,拱墅,拱宸桥
保利东湾,335,29131,115,暂无数,2018/8/30,2013/4/9,下沙,沿江南
大华西溪风情,830,38249,217,208.91,2017/10/13,2010/5/10,余杭,西溪
